province,max,min,wind,rain,humidi,cloud,pressure,date
Ha Noi,19,12,6,0,70,44,1025,1/1/2009
Ha Noi,18,12,6,0.5,65,28,1025,1/2/2009
Ha Noi,20,13,5,0.7,74,40,1022,1/3/2009
Ha Noi,25,12,5,0,81,46,1018,1/4/2009
Ha Noi,23,14,5,1.3,90,75,1017,1/5/2009
Ha Noi,23,15,5,2.2,88,59,1018,1/6/2009
Ha Noi,15,13,9,1.1,85,95,1023,1/7/2009
Ha Noi,15,12,8,0.5,78,91,1026,1/8/2009
Ha Noi,19,11,10,0.1,61,23,1029,1/9/2009
Ha Noi,22,8,6,0,50,2,1027,1/10/2009
Ha Noi,23,8,4,0,46,1,1024,1/11/2009
Ha Noi,22,9,6,0,51,5,1028,1/12/2009
Ha Noi,23,8,6,0,45,3,1030,1/13/2009
Ha Noi,22,9,5,0,45,4,1029,1/14/2009
Ha Noi,23,9,5,0,41,8,1027,1/15/2009
Ha Noi,26,10,4,0,51,2,1024,1/16/2009
Ha Noi,26,11,5,0,66,5,1020,1/17/2009
Ha Noi,22,13,4,0.1,84,52,1018,1/18/2009
Ha Noi,25,14,8,0.2,80,46,1015,1/19/2009
Ha Noi,26,16,7,0.2,80,52,1014,1/20/2009
Ha Noi,19,15,9,4.5,86,74,1018,1/21/2009
Ha Noi,25,15,6,0.2,71,36,1015,1/22/2009
Ha Noi,17,14,9,2.4,87,87,1018,1/23/2009
Ha Noi,12,10,9,5.7,78,98,1025,1/24/2009
Ha Noi,12,9,3,0.9,76,71,1021,1/25/2009
Ha Noi,11,10,7,1.8,85,96,1021,1/26/2009
Ha Noi,12,8,3,1,82,59,1021,1/27/2009
Ha Noi,18,8,3,0,80,78,1017,1/28/2009
Ha Noi,22,14,5,1.3,84,62,1018,1/29/2009
Ha Noi,28,12,4,0,72,2,1017,1/30/2009
Ha Noi,24,13,8,0,75,15,1016,1/31/2009
Ha Noi,19,14,3,0.8,91,85,1018,2/1/2009
Ha Noi,24,17,6,0.8,84,72,1017,2/2/2009
Ha Noi,25,17,6,0,79,54,1016,2/3/2009
Ha Noi,28,17,7,0,77,40,1016,2/4/2009
Ha Noi,26,17,7,0,78,43,1017,2/5/2009
Ha Noi,28,18,7,0,64,19,1018,2/6/2009
Ha Noi,28,16,8,0,71,13,1017,2/7/2009
Ha Noi,29,16,8,0,70,20,1018,2/8/2009
Ha Noi,32,16,5,0,68,15,1018,2/9/2009
Ha Noi,33,17,5,0,64,7,1017,2/10/2009
Ha Noi,31,19,10,0,62,7,1012,2/11/2009
Ha Noi,37,19,10,0,54,4,1005,2/12/2009
Ha Noi,38,23,8,0,40,0,1004,2/13/2009
Ha Noi,40,23,6,0,43,0,1006,2/14/2009
Ha Noi,37,23,10,0,56,0,1008,2/15/2009
Ha Noi,34,20,10,0,71,27,1012,2/16/2009
Ha Noi,30,22,13,0.3,73,55,1014,2/17/2009
Ha Noi,29,21,11,0.4,77,52,1013,2/18/2009
Ha Noi,32,21,14,0.7,72,52,1011,2/19/2009
Ha Noi,23,20,8,3.6,80,97,1016,2/20/2009
Ha Noi,24,19,9,1,83,91,1012,2/21/2009
Ha Noi,35,22,10,0.5,73,43,1006,2/22/2009
Ha Noi,37,23,10,0,63,16,1007,2/23/2009
Ha Noi,37,25,11,0,58,12,1008,2/24/2009
Ha Noi,35,24,10,0,66,17,1009,2/25/2009
Ha Noi,34,23,13,0.2,67,28,1010,2/26/2009
Ha Noi,32,23,12,2.1,72,54,1011,2/27/2009
Ha Noi,25,21,9,2.5,79,92,1014,2/28/2009
Ha Noi,17,17,7,5.1,80,100,1017,3/1/2009
Ha Noi,19,16,6,1.2,82,92,1017,3/2/2009
Ha Noi,21,16,4,0.9,81,87,1015,3/3/2009
Ha Noi,23,18,5,2.3,89,83,1010,3/4/2009
Ha Noi,24,17,8,2.8,88,88,1010,3/5/2009
Ha Noi,18,16,7,1,80,94,1016,3/6/2009
Ha Noi,23,14,7,0.3,70,57,1017,3/7/2009
Ha Noi,23,16,4,1.1,83,71,1014,3/8/2009
Ha Noi,28,16,7,0.9,68,37,1017,3/9/2009
Ha Noi,29,16,9,0,80,38,1012,3/10/2009
Ha Noi,32,21,9,0.9,78,37,1009,3/11/2009
Ha Noi,33,22,11,0.4,78,41,1010,3/12/2009
Ha Noi,29,15,10,6.2,78,56,1018,3/13/2009
Ha Noi,25,14,7,0,51,4,1024,3/14/2009
Ha Noi,26,15,6,0,59,5,1018,3/15/2009
Ha Noi,27,15,7,0,78,31,1014,3/16/2009
Ha Noi,29,18,7,0.8,83,66,1011,3/17/2009
Ha Noi,27,20,5,0.4,85,75,1010,3/18/2009
Ha Noi,30,21,7,1.1,81,64,1011,3/19/2009
Ha Noi,30,22,8,3.5,88,70,1011,3/20/2009
Ha Noi,34,22,9,0,75,30,1008,3/21/2009
Ha Noi,39,23,8,0,67,16,1007,3/22/2009
Ha Noi,40,23,7,0,61,22,1008,3/23/2009
Ha Noi,27,24,7,1.7,82,84,1011,3/24/2009
Ha Noi,23,21,5,4.9,88,96,1014,3/25/2009
Ha Noi,27,20,8,0.4,83,75,1012,3/26/2009
Ha Noi,31,21,8,0.4,79,51,1010,3/27/2009
Ha Noi,40,22,5,0,64,19,1009,3/28/2009
Ha Noi,25,22,8,1.4,78,68,1013,3/29/2009
Ha Noi,21,19,7,4.1,85,97,1015,3/30/2009
Ha Noi,18,17,6,6.6,91,100,1017,3/31/2009
